2016年各卫视播出电视剧,,
剧名,电视台1,电视台2
抗倭英雄戚继光,中央一套,
陆军一号,中央一套,
还是夫妻,中央一套,
小镇大法官,中央一套,
父亲的身份,中央一套,
彭德怀元帅,中央一套,
天涯浴血,中央一套,
海棠依旧,中央一套,
马兰谣,中央一套,
人民检察官,中央一套,
安居,中央一套,
绝命后卫师,中央一套,
长征大会师,中央一套,
淬火成钢,中央一套,
天天有喜之人间有爱,湖南卫视,
因为爱情有幸福,湖南卫视,
武神赵子龙,湖南卫视,
小丈夫,湖南卫视,
亲爱的翻译官,湖南卫视,
解密,湖南卫视,
神犬小七第二季,湖南卫视,
麻辣变形计,湖南卫视,
麻雀,湖南卫视,
红星照耀中国,湖南卫视,
咱们相爱吧,湖南卫视,
放弃我，抓紧我,湖南卫视,
寻找爱的冒险,湖南卫视,
十五年等待候鸟,湖南卫视,
奇妙的时光之旅,湖南卫视,
是！尚先生,湖南卫视,
旋风少女第二季,湖南卫视,
相爱穿梭千年2,湖南卫视,
青云志,湖南卫视,
青丘狐传说,湖南卫视,
山海经之赤影传说,湖南卫视,
仙剑云之凡,湖南卫视,
幻城,湖南卫视,
兰陵王妃,湖南卫视,
我是特种兵之霹雳火,江苏卫视,
女医明妃传,江苏卫视,东方卫视
爱的阶梯,江苏卫视,
我是杜拉拉,江苏卫视,
柠檬初上,江苏卫视,
好先生,江苏卫视,浙江卫视
东方战场,江苏卫视,湖北卫视
秀丽江山之长歌行,江苏卫视,
微微一笑很倾城,江苏卫视,东方卫视
怒火英雄,江苏卫视,深圳卫视
双刺,江苏卫视,
骡子和金子,江苏卫视,安徽卫视
不可能完成的任务,江苏卫视,天津卫视
老公们的私房钱,江苏卫视,
九州天空城,江苏卫视,
煮妇神探,浙江卫视,
寂寞空庭春欲晚,浙江卫视,深圳卫视
爱人的谎言,浙江卫视,深圳卫视
潜伏在黎明之前,浙江卫视,
欢乐颂,浙江卫视,东方卫视
那年青春我们正好,浙江卫视,东方卫视
太行山上,浙江卫视,
警花与警犬,浙江卫视,
你好乔安,浙江卫视,深圳卫视
小别离,浙江卫视,北京卫视
爱情万万岁,浙江卫视,
胭脂,浙江卫视,东方卫视
我是红军,浙江卫视,
嘿，孩子,浙江卫视,
美人私房菜,浙江卫视,安徽卫视
北上广依然相信爱情,浙江卫视,
少帅,北京卫视,东方卫视
新萧十一郎,北京卫视,
天伦,北京卫视,四川卫视
猎人,北京卫视,
姐妹兄弟,北京卫视,贵州卫视
金水桥边,北京卫视,贵州卫视
三八线,北京卫视,辽宁卫视
国门英雄,北京卫视,
亮剑,北京卫视,
追击者,北京卫视,辽宁卫视
我的爱情撞上了战争,北京卫视,辽宁卫视
中国式关系,北京卫视,东方卫视
好家伙,北京卫视,
红色护卫,北京卫视,
锦绣未央,北京卫视,东方卫视
我的岳父会武术,北京卫视,东方卫视
新边城浪子,北京卫视,湖北卫视
卧虎,北京卫视,
欢天喜地对亲家,中央八套,
我的博士老公,中央八套,
奶爸的爱情生活,中央八套,
你是我的眼,中央八套,
班淑传奇,中央八套,
解忧公主,中央八套,
传奇大掌柜,中央八套,
生命中的好日子,中央八套,
女人的天空,中央八套,
麻辣芳邻,中央八套,
遥远的婚约,中央八套,
我在锡林郭勒等你,中央八套,
一念向北,中央八套,
幸福在一起,中央八套,
好想好想爱上你,中央八套,
生活有点甜,中央八套,
我们的纯真年代,中央八套,
毛泽东三兄弟,中央八套,
风云年代,中央八套,
多少爱可以重来,中央八套,
嫁个老公过日子,中央八套,
家有喜妇,中央八套,
黄金血道,中央八套,
炮神,中央八套,
宜昌保卫战,中央八套,
锻刀,中央八套,
千里雷声万里闪,中央八套,
彝海结盟,中央八套,
国家底线,中央八套,
活法,中央八套,
九九,中央八套,
豆娘,中央八套,
真心想让你幸福,中央八套,
幸福请你等等我,天津卫视,
大年初一立春,天津卫视,辽宁卫视
守婚如玉,天津卫视,安徽卫视
亲情暖我心,天津卫视,
代号,天津卫视,
对与决,天津卫视,
太太万岁,天津卫视,安徽卫视
信者无敌,天津卫视,
无名者,天津卫视,
搭错车,山东卫视,
刘海戏金蟾,山东卫视,
两个女人的战争,山东卫视,江西卫视
女人不容易,山东卫视,
一马换三羊,山东卫视,
三妹,山东卫视,黑龙江卫视
狭路,山东卫视,
女怕嫁错郎,山东卫视,
遥远的距离,山东卫视,安徽卫视
我是你的眼,山东卫视,
亲娘木兰,山东卫视,
最美是你,东方卫视,
旋风十一人,东方卫视,
女不强大天不容,东方卫视,安徽卫视
焦裕禄,东方卫视,安徽卫视
致青春,东方卫视,安徽卫视
谜砂,东方卫视,
红旗漫卷西风,东方卫视,
新婚公寓,东方卫视,
老九门,东方卫视,
如果蜗牛有爱情,东方卫视,
蜀山战纪之剑侠传奇,安徽卫视,
五鼠闹东京,安徽卫视,
好运来临,安徽卫视,
头号前妻,安徽卫视,辽宁卫视
爱的追踪,安徽卫视,湖北卫视
遇见王沥川,安徽卫视,
结婚为什么,安徽卫视,深圳卫视
姐妹姐妹,安徽卫视,
小草青青,安徽卫视,辽宁卫视
孩子回国了,江西卫视,河北卫视
碧血书香梦,江西卫视,深圳卫视
情谜睡美人,江西卫视,河南卫视
情满雪阳花,江西卫视,
幸福满屋,江西卫视,
酸甜苦辣小夫妻,江西卫视,
且行且珍惜,江西卫视,
映山红,江西卫视,
下辈子还做我老爸,江西卫视,湖北卫视
爱情珠宝,江西卫视,
因为爱,湖北卫视,
我爱男保姆,湖北卫视,黑龙江卫视
我是你的百搭,湖北卫视,
邮差,湖北卫视,
一个鬼子都不留,湖北卫视,
红色通道,湖北卫视,河南卫视
猎刃,湖北卫视,河南卫视
亲密的搭档,湖北卫视,河南卫视
暗战危城,湖北卫视,
闺蜜嫁到,湖北卫视,河南卫视
乌鸦嘴妙女郎,深圳卫视,
老婆大人是80后,深圳卫视,
再见，老婆大人,深圳卫视,
致单身男女,深圳卫视,
缘来幸福,深圳卫视,
隐形的翅膀,深圳卫视,
恋爱真美,深圳卫视,
追婚记,深圳卫视,
狐影,四川卫视,
殊死七日,四川卫视,
昙花梦,四川卫视,广东卫视
踏破硝烟,四川卫视,
暗战危城,四川卫视,
别让爱你的人等太久,四川卫视,
潜行者,黑龙江卫视,
怒江之战,黑龙江卫视,
女怕嫁错郎,黑龙江卫视,
蜂鸟,黑龙江卫视,
云水怒,贵州卫视,
蚂蚱,贵州卫视,
功夫婆媳,贵州卫视,
岳父太囧,贵州卫视,
游击英雄,贵州卫视,辽宁卫视
伏击,贵州卫视,
大嫁风尚,辽宁卫视,
养个孩子不容易,辽宁卫视,
政委,辽宁卫视,河南卫视
第22条婚规2,辽宁卫视,
热血,重庆卫视,
铁血战狼,重庆卫视,
玉海棠,重庆卫视,
我和她的传奇情仇,重庆卫视,
硬骨头,重庆卫视,
终极使命,重庆卫视,
傻儿传奇之抗战到底,重庆卫视,
深宅1937,重庆卫视,
黑狐之风影,重庆卫视,
远得要命的爱情,广东卫视,东南卫视
刺青,广东卫视,
辣妈俏爸,东南卫视,
港媳嫁到,东南卫视,
医馆笑传2,东南卫视,
待嫁老爸,河北卫视,
