title,link,play_count,thumbs_up,thumbs_down,score
美人为馅,http://www.iqiyi.com/a_19rrhaltkd.html,3.79亿,0,0,
绝命后卫师,http://www.iqiyi.com/a_19rrh9vhjd.html,4561万,0,0,
锻刀,http://www.iqiyi.com/a_19rrh9urn1.html,6.21亿,0,0,
太太万岁,http://www.iqiyi.com/a_19rrh9rhq5.html,7.34亿,0,0,
中国式关系,http://www.iqiyi.com/a_19rrh9oonl.html,9.97亿,0,0,
杉杉来了,http://www.iqiyi.com/a_19rrgie1z9.html,25.83亿,0,0,
爱情公寓4,http://www.iqiyi.com/a_19rrifrm2n.html,53.35亿,0,0,
养个孩子不容易,http://www.iqiyi.com/a_19rrh9u5dh.html,3.47亿,0,0,
我不是妖怪,http://www.iqiyi.com/a_19rrh9q7a1.html,2.40亿,0,0,
妻子的谎言,http://www.iqiyi.com/a_19rrhb0om5.html,14.85亿,0,0,
骡子和金子,http://www.iqiyi.com/a_19rrh9wbh5.html,4705万,0,0,
妻子的秘密,http://www.iqiyi.com/a_19rrgia9zd.html,7.11亿,0,0,
双刺,http://www.iqiyi.com/a_19rrh9oo4h.html,3.28亿,0,0,
小别离,http://www.iqiyi.com/a_19rrhbbh01.html,18.37亿,0,0,
琅琊榜,http://www.iqiyi.com/a_19rrhc0u75.html,47.77亿,0,0,
伏击,http://www.iqiyi.com/a_19rrh9zgah.html,3681万,0,0,
欢乐颂,http://www.iqiyi.com/a_19rrhagj55.html,54.80亿,0,0,
傻根进城,http://www.iqiyi.com/a_19rrhav2kx.html,3.94亿,0,0,
遥远的距离,http://www.iqiyi.com/a_19rrhaq4o9.html,1.99亿,0,0,
暗战危城,http://www.iqiyi.com/a_19rrh9vb61.html,1.58亿,0,0,
最佳前男友,http://www.iqiyi.com/a_19rrhb6mt1.html,7.61亿,0,0,
灵魂摆渡,http://www.iqiyi.com/a_19rrgi8d91.html,15.62亿,0,0,
灵魂摆渡2,http://www.iqiyi.com/a_19rrhaxnrh.html,15.32亿,0,0,
遥远的婚约,http://www.iqiyi.com/a_19rrhaj2id.html,1.17亿,0,0,
武当,http://www.iqiyi.com/a_19rrhapwr5.html,850万,0,0,
