style,language,location,play_count,thumbs_down,thumbs_up,director,link,actors,score,title
悬疑剧/剧情/网络剧,国语,内地,2.63亿,21257,194866,巨兴茂,http://www.iqiyi.com/a_19rrhaqtp1.html,于毅/刘智扬/肖茵/岳丽娜/杨昆/倪虹洁/陈俐君/王纯/何花,9.0,灵魂摆渡3
言情剧/剧情/都市,国语,内地,54.89亿,306393,1770935,孔笙/简川訸,http://www.iqiyi.com/a_19rrhagj55.html,刘涛/蒋欣/王子文/杨紫/乔欣/祖峰/王凯/杨烁/靳东/张陆,8.5,欢乐颂
军旅剧/剧情/年代剧,30集全,内地,7.40亿,210802,2547922,张前/陈健,http://www.iqiyi.com/a_19rrj6sgbt.html,李幼斌/何政军/张桐/童蕾/孙俪/陆鹏/张笑君/车晓彤/江水/宗利群/张伟/陈旺林/袁满/梁林琳/杨联春/柳秉钰/田勇/赵中华/李江/张建祥/孟耿成,9.2,亮剑
家庭剧/都市,国语,内地,7.47亿,40071,94049,沈严/刘海波,http://www.iqiyi.com/a_19rrh9rhq5.html,闫妮/许亚军/赵子琪/张晨光/曦子/盛冠森/袁文康/朱锐/谭凯/刘莉莉,7.0,太太万岁
青春剧/家庭剧/言情剧,国语,内地,8.37亿,44152,144775,刘二威/王兵,http://www.iqiyi.com/a_19rrhb0965.html,陈乔恩/张译,7.7,嫁个老公过日子
言情剧/偶像剧/青春剧,国语,内地,703万,587,1589,蒋家骏,http://www.iqiyi.com/a_19rrh9uij1.html,陆毅/林心如/曾黎/于小伟/姜华/于毅/吴佳尼/冯绍峰/周蕾,7.3,男才女貌
剧情/都市/喜剧/言情剧/偶像剧,国语,内地,14.72亿,103365,736995,夏晓昀,http://www.iqiyi.com/a_19rrhb27kd.html,胡歌/王晓晨/许亚军/周楚楚/韩东君/徐百卉/高蓓蓓/鲁伊莎/吕凉/方芳,8.8,大好时光
古装剧/偶像剧/神话剧/青春剧,国语,内地,13.30亿,128469,800595,林玉芬/高林豹/徐惠康,http://www.iqiyi.com/a_19rrhb8d05.html,蒋劲夫/古力娜扎/张若昀/陈瑶/付辛博/小彩旗/王凯/金晨/Mike(泰星)/唐艺昕/翟天临/江铠同/张雪迎/傅隽,8.6,青丘狐传说
家庭剧/言情剧/都市,国语,内地,7.80亿,40928,193873,张晓波,http://www.iqiyi.com/a_19rrhagzsd.html,雷佳音/袁姗姗/车晓/曹曦文/刘楚恬,8.3,我爱男保姆
言情剧/年代剧/商战剧,52集全,内地,1.49亿,12110,73418,张新建/孔笙,http://www.iqiyi.com/a_19rrj6ueml.html,李幼斌/萨日娜/刘向京/朱亚文/齐奎/宋佳/牛莉/梁林琳/黄小蕾/靳东/马恩然/王奎荣/高明/毕彦君/鲍国安,8.6,闯关东
神话剧/穿越剧/古装剧,36集全,内地,2.71亿,1807484,16778367,蔡晶盛,http://www.iqiyi.com/a_19rrjaj3hd.html,钟欣潼/蒋毅/刘庭羽/蒲巴甲/朱紫汶/谭耀文/孙兴/郭珍霓/李倩/刘娜萍/Tae,9.0,女娲传说之灵珠
喜剧/神话剧/言情剧/古装剧/偶像剧,国语,内地,6.14亿,53268,377920,徐惠康/苏沅峯,http://www.iqiyi.com/a_19rrgjdiu5.html,谭耀文/穆婷婷/陈威翰/蒋毅/刘庭羽/黄少祺/刘心悠/戴春荣/解惠清/商忆沙,8.8,土地公土地婆
言情剧/家庭剧/剧情/都市,国语,内地,7.88亿,40030,219408,姚晓峰,http://www.iqiyi.com/a_19rrgi7bu9.html,王志文/李小冉/俞飞鸿/韩童生/许娣/田雨/关晓彤/杨玏/江珊/杨立新/耿乐/佟大为/李明珠1,8.5,大丈夫
家庭剧/剧情/都市,国语,内地,8334万,7979,34265,李平/华宁,http://www.iqiyi.com/a_19rrhbb8i9.html,张倬闻/李木子/汤镇宗/马羚/迟志强/博弘,8.1,穷孩子富孩子
神话剧/古装剧,国语,内地,4.09亿,54239,333512,梁辛全,http://www.iqiyi.com/a_19rrhb9o2h.html,陈浩民/林子聪/陈威翰/唐熙/陈紫函/穆婷婷/关智斌,8.6,新济公活佛下部
悬疑剧/罪案剧,英语,美剧,4073万,2471,19467,文斯-吉甘/米歇尔·麦克拉伦/亚当·伯恩斯坦,http://www.iqiyi.com/a_19rriftt98.html,布莱恩·克兰斯顿/安娜·冈/亚伦·保尔/Rj Mitte/Dean Norris/Betsy Brandt/Bob Odenkirk/Jonathan Banks/Giancarlo Esposito/Steven Michael Quezada,8.9,绝命毒师第4季
年代剧/谍战剧/悬疑剧,国语,内地,1.26亿,17585,82244,车父/刘礴,http://www.iqiyi.com/a_19rrgigaa1.html,杨烁/周牧茵/赵纯阳/夏凡/张译木/安泽豪/高蓓蓓/芦菲/尹国华/侯祥/王冠淇/耿长军,8.2,冒牌英雄
言情剧/古装剧,国语,台湾,7740万,9653,27080,刘立立,http://www.iqiyi.com/a_19rrk2iy09.html,李志希/岳翎/佟瑞欣/何音/刘子蔚/林秀君,7.4,鬼丈夫
罪案剧/悬疑剧/剧情,国语,内地,1.12亿,9085,39606,张族权/黄丹/吉桥/项海明,http://www.iqiyi.com/a_19rrhb3ugl.html,张磊/董维嘉/陆玲/王正军/陈颢文/韩含/候迪/蒋宇扬,8.1,中国刑警803
喜剧/家庭剧/言情剧/农村剧,国语,内地,1.43亿,8500,35814,王晓曦,http://www.iqiyi.com/a_19rrhaaph9.html,秦卫东/李菁菁/邵峰,8.1,欢天喜地对亲家
言情剧/古装剧/偶像剧,国语,内地,1.46亿,26906,83588,李慧珠/邓伟恩,http://www.iqiyi.com/a_19rrgifsv5.html,董洁/杜淳/何晟铭/张嘉倪/高昊/曹曦文/苏青/张晨光/李耀敬/邓萃雯/黄文豪/姜鸿/吴岱融,7.6,美人如画
言情剧/都市/偶像剧,国语,内地,1926万,3413,7658,杨冠玉,http://www.iqiyi.com/a_19rrhb71xx.html,李小璐/李威/金佳/洪小铃/姚元浩/戚薇,6.9,来电奇缘
年代剧/偶像剧/剧情,国语,内地,1.58亿,3500,10355,鞠觉亮/邹集城,http://www.iqiyi.com/a_19rrjwep15.html,陈国坤/樊少皇/徐少强/周牧茵/王紫瑄/徐熙颜/叶项明/贺贤威/何中华,7.5,新版马永贞
罪案剧/剧情,国语,内地,2181万,1896,8295,闫宇彤,http://www.iqiyi.com/a_19rrhbddz9.html,王志飞/颜世魁/徐卫,8.1,案发现场
言情剧/剧情/都市/偶像剧,韩语,韩国,4010万,12245,55759,李正浩,http://www.iqiyi.com/a_19rrhbho4d.html,崔珉豪/朴洙垣,8.2,因为是第一次
言情剧/家庭剧/剧情/都市,国语,内地,1.02亿,16628,50959,鄢颇,http://www.iqiyi.com/a_19rrhbk4ld.html,郭晓东/曹曦文/潘虹/戴春荣﻿/陈彦妃/郑奇/詹小楠/徐玺涵,7.5,当婆婆遇上妈之欢喜冤家
言情剧/年代剧/剧情,国语,内地,7712万,1740,13594,罗福,http://www.iqiyi.com/a_19rrjz8qrp.html,郭珍霓/丁子峻/叶静/王宇婕/陈莎莉/施羽/关少曾/许娣/任学海/姚卓君,8.9,流泪的新娘
言情剧/古装剧/神话剧,20集全,内地,5627万,22280,99635,卫翰韬/郑基成/黄伟明,http://www.iqiyi.com/a_19rrj5sc01.html,徐怀钰/郭晋安/张智尧/孙莉/何嘉文/梁家仁/郑嘉颖,8.2,天地传说之鱼美人
剧情/年代剧/谍战剧,国语,内地,3302万,2720,12615,孙小光,http://www.iqiyi.com/a_19rrgierdh.html,王珂/连奕名/王新/杨若兮/张京海/李杰/张岩/徐悦/张亚坤,8.2,狼烟2013版
言情剧/古装剧/剧情,国语,内地,7119万,9323,72984,林玉芬/高林豹/徐惠康,http://www.iqiyi.com/a_19rrhags3h.html,古力娜扎/金晨/陈瑶/小彩旗/蒋劲夫/江铠同/王凯/张若昀/乔欣/姚奕辰/翟天临/陈廷嘉/海铃,8.9,青丘狐传说未删减版
言情剧/偶像剧/青春剧/都市,国语,内地,3706万,13575,39646,陈铭章,http://www.iqiyi.com/a_19rrhb4ofp.html,郑智薰/唐嫣/罗晋/迪丽热巴/姚奕辰/郭柯彤/张雯/王艺博/郭静琳/白凡,7.4,克拉恋人未删减版
都市/言情剧/偶像剧/青春剧,国语,内地,7993万,4501,41816,赵宝刚,http://www.iqiyi.com/a_19rrhbzqix.html,任重/张俪/张铎/王阳/杜江/张佳宁/周放/方安娜/李婳/梁俊一/宗平,9.0,青年医生未删减版
罪案剧/剧情,国语,内地,1.06亿,6122,14938,张国立/陈昆晖,http://www.iqiyi.com/a_19rrhamtcd.html,张国立/闫妮/高晓菲/刘立/初俊辰/孙铱/樊昱君/孙岚,7.1,爱的追踪
家庭剧/言情剧/剧情,国语,内地,2592万,3731,18870,万盛华,http://www.iqiyi.com/a_19rrj5uwz1.html,任程伟/闫妮/朱琳/高放/石维坚,8.3,下辈子做你的女人
家庭剧/剧情/都市,国语,内地,341万,213,447,王志强,http://www.iqiyi.com/a_19rrhbb87h.html,童蕾/周海媚/刘佳/王策/奇道/傅冲,6.8,婚里婚外那些事
农村剧/喜剧,国语,内地,123万,97,156,彭澎,http://www.iqiyi.com/a_19rrh9ueit.html,杨波/田成仁/岳红/白雪,6.2,龙门村的故事
青春剧/言情剧/偶像剧,国语,内地,1.71亿,17274,88707,黄祖权/周家文,http://www.iqiyi.com/a_19rrgjb9zx.html,蒋梦婕/姚元浩/迟帅/阚清子/刘一含/李眸/李茂/周晓涵/安钧璨/赵越/迟志强/张晨光/王琳,8.4,一克拉梦想
言情剧/年代剧/家庭剧,40集全,内地,3730万,4352,60161,林健龙,http://www.iqiyi.com/a_19rrj5oqil.html,霍建华/吕一/陈思诚/刘芸/李立群/王琳/樊少皇/乔任梁,9.3,新一剪梅
言情剧/偶像剧,国语,内地,7008万,8870,34518,张晓光,http://www.iqiyi.com/a_19rrjt29f9.html,钟汉良/罗珊珊/柯蓝/郭晓东,8.0,午夜阳光
言情剧/武侠剧/古装剧/剧情,国语,内地,9330万,14260,102705,李惠民,http://www.iqiyi.com/a_19rrj5ygxl.html,王艳/陈楚河/陈意涵/刘德凯/黄维德/贺刚/刘永/张璇/桑伟淋/于洪亮/郭鑫/张昊/晨阳/王冰,8.8,流星蝴蝶剑
军旅剧/剧情,国语,内地,2463万,1979,4043,安澜,http://www.iqiyi.com/a_19rrhbdmlt.html,张秋歌/范明/叶欢,6.7,上将许世友
家庭剧/剧情/农村剧,国语,内地,1.50亿,10980,25086,滕文骥/王为,http://www.iqiyi.com/a_19rrhacikl.html,陈小艺/练束梅/崔林/马丽/陈思斯/陈婷/陆纪依/刘亭作,7.0,天伦
年代剧/家庭剧/都市,国语,内地,904万,557,1386,赖建国,http://www.iqiyi.com/a_19rrh9muv5.html,聂远/戴娇倩/黄曼/夏侯镔/赵慧仙/王诗蒙,7.1,极品妈妈
喜剧/青春剧/言情剧/偶像剧,国语,内地,1.35亿,27695,248307,蒋家骏,http://www.iqiyi.com/a_19rrginmp9.html,戚薇/陈赫/王传君/毛晓彤/乔任梁/姜妍/吴建飞/刘晓虎/刘智扬/董玉峰/王瑞子/恬妞/岳跃利,9.0,爱情回来了TV版
军旅剧/历史剧/谍战剧,国语,内地,3411万,3067,10094,张友龄,http://www.iqiyi.com/a_19rrgiivq9.html,孙维民/王伍福/宗利群/陈继铭/李君峰/杨丽晓,7.7,抗日名将左权
悬疑剧/家庭剧/剧情,国语,内地,1776万,2779,3792,金琛,http://www.iqiyi.com/a_19rrhc3q1t.html,周莉/吴若甫,5.8,走出监狱的女人
国语,38集全,内地,110万,169,731,邱浩强,http://www.iqiyi.com/a_19rrh9rad9.html,陈隆赫/冷若萌/黄一山/杨紫/张一山/孙德林/徐乐,8.1,不想长大
青春剧/剧情/都市,国语,内地,4229万,2075,4655,孔令晨,http://www.iqiyi.com/a_19rrhb7h51.html,陶惠/齐中旸/聂鑫/刘佩琦/赵纯阳/张倩,6.9,蓝狐
喜剧/都市,国语,内地,182万,119,578,杨议,http://www.iqiyi.com/a_19rrh9u7n5.html,杨议/韩兆/尚华/杨少华/买红妹/李立君,8.3,杨光的爱情故事
历史剧,国语,内地,442万,229,905,高希希,http://www.iqiyi.com/a_19rrh9miup.html,张丰毅/李雪健/孙松/李琳/刘小宁/王新军,8.0,历史的天空
历史剧/军旅剧/剧情,国语,内地,4240万,3955,7113,石伟,http://www.iqiyi.com/a_19rrhbz5ul.html,王霙/郭广平/洪涛/温峥嵘/安荣生/张世会/周征波/侯祥玲,6.4,领袖
家庭剧,国语,内地,616万,367,802,杨克,http://www.iqiyi.com/a_19rrh9o1oh.html,严敏求/陈瑾/于和伟/许亚军/咏梅/王乙竹,6.9,孝子
喜剧/家庭剧/都市,国语,内地,2.57亿,14111,57270,韩兆,http://www.iqiyi.com/a_19rrhadrld.html,潘长江/韩兆/买红妹/张洪杰/马丽/倪景阳/曹随风/张立/王彤,8.0,大年初一立春
青春剧/剧情/农村剧,国语,内地,6459万,7728,24577,周英男,http://www.iqiyi.com/a_19rrgi9jxl.html,贺刚/王力可/刘流/邵峰/王晓曦/吴连生/句号/乔杉/修睿/王红梅,7.6,大村官
罪案剧/悬疑剧,国语,内地,725万,908,1752,郭一洁/王永春,http://www.iqiyi.com/a_19rrhbdjy1.html,王海燕/刘研/曹蓬/赵克明/王跃进,6.6,女法医
家庭剧/言情剧,国语,内地,1.85亿,11036,50016,王伟廷/王淑志,http://www.iqiyi.com/a_19rrjp81k9.html,李宗翰/张咏棋/小李琳/李进荣/岳耀利/夏台凤/张亮/馨子/张迪/涂黎曼/唐艺昕/张宝雯/张明明/徐玉兰/郑鹏飞,8.2,百万新娘之爱无悔未删减版
家庭剧/言情剧/剧情,国语,内地,7525万,7651,17468,郭廷波,http://www.iqiyi.com/a_19rrhay3b9.html,郑国霖/杨恭如/娜仁花/宫筱轩/郭珍霓/黄俊鹏,7.0,当人心遇上仁心
军旅剧/剧情/谍战剧,国语,内地,9892万,6272,23112,潘军,http://www.iqiyi.com/a_19rrj60vk9.html,于震/施京明/李欣凌/刘牧/朱婷/刘冠军/叶静/孙敬涛/张博/傅子明/潘军/王亚梅/石天琦/刘东来,7.9,海狼行动
