actor1,first_show,actor4,title,actor3,production_company,name2,online,style,writer,actor2,douban_num,name1,seasons,director,episodes,douban_score
毕畅,2015年12月11日,王小利,乡村爱情浪漫曲,唐鉴军,本山传媒有限公司,,腾讯视频,乡村,张继,贺树峰,1375,,,孟令宇,65集,6.8
范冰冰,2014年12月21日,张钧甯,武媚娘传奇,李治廷,唐德影视,,乐视网、优酷、爱奇艺、芒果TV、腾讯视频、搜狐视频、litv（台）,宫廷,潘朴,张丰毅,19610,湖南卫视,,高翊浚,湖南卫视版96集,5.2
韩栋,2014年12月20日,娄艺潇,鹿鼎记,魏千翔,华策影视,云南卫视,爱奇艺、乐视、优酷,古代,刘殿润,张檬,125710,安徽卫视,,赖水清,50集,7.8
包贝尔,2016年10月17日[3],包文婧,欢喜密探,王鸥,和润影业,,优酷,古装,朱凌锋,贾玲,3719,,,李楠,44集,6.1
陈赫,2016年11月28日,李溪芮,极品家丁,尹正,华策克顿集团旗下上海剧芯文化,,优酷,古装,咪蒙,金晨,5038,安徽卫视,,王为,31集,4.2
,,,因为爱情有幸福之一,,,,,,,,,,,,,
孙红雷,2014年12月24日,秦卫东,二炮手,孙茜,新丽传媒,浙江,爱奇艺、乐视、腾讯、迅雷看看、搜狐,战争，年代，剧情,肖锚,海清,2501,江苏,,康洪雷,36集,6.6
李健,2016年1月5日,宋运成,寒山令,许亚军,河南电视传媒发展有限公司,,爱奇艺、优酷、土豆,抗战,李倚天,乔乔,80,,,谷诗阳,40集,5.3
林峯,2016年6月20日,孙耀琦,六扇门,方中信,东阳捷成瑞吉祥影视传媒,,腾讯视频,古装,徐小朋,迪丽热巴,922,,,唐迪,40集,5.2
陈宝国,2014年12月22日,蒋欣,老农民,牛莉,山东影视传媒集团/山东电影电视剧制作中心,,,农民史诗大剧,高满堂，李洲,冯远征,2796,山东/北京/河南/黑龙江卫视,,张新建，王滨，张开宙,62集,8.5
