best2_score,best3_name,job,best1_name,best4_name,best4_score,best1_score,best3_score,best2_name,id,best5_name,best5_score,name
7.2,惨绿少年/绿发男孩,actor,窗,Perry Mason: Th...,,7.3,6.7,Climax!,1002823,90分钟剧场,,芭芭拉·海尔
7.3,荣光的在仁,actor,英雄豪杰,新年的葬礼,,8.7,6.3,魂,1003354,闪耀的罗曼史,,李真
8.1,无辜的世界,actor,情书,拥抱,7.1,8.8,8.0,人证,1004171,化石的荒野,,范文雀
,人も歩けば,actor,阿信的故事,早乙老师,,9.2,,青春放课后,1004853,戒指的不在场证明,,小林千登势
7.3,X音素(美版) 第三季,actor,美国梦 第一季,尸骨袋,5.8,8.0,6.4,英国偶像  第八季,1004881,Beverly Hood,,凯莉·罗兰
8.8,亨德逊夫人敬献,actor,Party at the Pa...,鬼影喧嚣 第一季,6.8,9.0,7.7,伦敦温布雷世界...,1005088,Perspectives - ...,,威尔·杨
6.5,Telephone Time,actor,Climax!,City That Never...,,7.2,,搭便车的人,1005106,Lux Video Theatre,,William Talman
8.2,神秘岛,actor,欢乐满屋 第一季,货车走天涯,,8.8,,天龙特攻队 第一季,1005201,老版无敌女金刚,,Jeannie Wilson
,The All Star Co...,actor,愚人屋 第一季,Monkey Trousers,,5.6,,Catterick,1005346,"Bang, Bang, It'...",,Vic Reeves
8.3,物理化学 第三季,actor,物理化学 第二季,爱情菜单,6.6,8.3,8.1,物理化学 第一季,1005393,Doctor Infierno,,哈维尔·卡尔沃
8.3,Al salir de clase,actor,医务中心 第一季,Cambio de clase,,8.3,,物理化学 第一季,1005473,La sopa boba,,珊德拉·巴拉兹奎兹
9.3,迷离时空(原版) ...,actor,星际旅行：原初 ...,迷离时空(原版) ...,8.7,9.4,9.3,希区柯克长篇故...,1005554,裸城 第一季,,Gene Lyons
7.9,犯罪现场,actor,科扎克,Gesucht wird Ri...,,8.6,7.8,傀儡生涯,1005846,Das Nest,,罗伯特·阿佐恩
,Бальзак...,actor,人在沼泽,猎狐,,,,Drugaya zhizn,1006190,Зеленый ...,,德米特里·哈拉季扬
7.4,辣妹掌门人,actor,海贼王,功夫小子,4.5,9.5,6.4,自闭天才,1006517,哈姆太郎：哈姆...,,矢口真里
8.7,没事偷着乐,actor,我爱我家,1986年中央电视...,6.7,9.0,7.4,四世同堂,1007989,第九号悬案,,李婉芬
,Rokudenashi yar...,actor,危险的女人,金田一耕助：夜行,,,,挽歌,1008815,その気になるまで,,南风洋子
,Om Stig Petrés...,actor,欢迎来到瑞典 第...,En ängels t...,,7.8,,Bröderna Kar...,1008859,Tre kronor,,Ulf Kvensler
7.9,跃动英伦,actor,乐坛毒舌嗡嗡鸡 ...,不善之举,5.2,9.1,6.5,皮囊之秘密派对...,1009395,X音素(英版) 第一季,,麦切·赫威
8.2,温馨赤子情,actor,归乡历险记 第一季,"Rich Man, Poor ...",,8.8,7.1,草原小屋 第一季,1009478,农场物语,,威利·艾姆斯
8.1,海滩救护队 第一季,actor,星际旅行：深空...,马可·波罗,7.7,8.7,7.9,神探亨特,1009675,国王与怪兽,,肯·马歇尔
7.3,两个人一起走的路,actor,青之炎,太妹刑事,4.6,8.6,7.1,益智游戏2,1010170,爱情一本,,松浦亚弥
8.4,人类心智,actor,人体漫游,科学如何改变我...,7.6,9.1,7.9,人类本能,1010201,不列颠历史 第一季,,Robert Winston
7.2,科隆颂歌,actor,阿德龙大酒店,Men in Exile,,9.1,,Climax!,1010388,Bus Stop,,玛丽·鲍默
9.1,飞哥与小佛 第四季,actor,飞哥与小佛 第一季,混乱之子 第五季,9.0,9.4,9.1,飞哥与小佛 第三季,1010535,马尔科姆的一家 ...,8.9,阿什丽·提斯代尔
9.1,70年代秀  第五季,actor,辛普森一家  第...,星际穿越,9.1,9.4,9.1,70年代秀 第二季,1010536,70年代秀 第三季,9.0,托弗·戈瑞斯
8.8,阿凡达：创建潘...,actor,法律与秩序 第一季,阿凡达,8.6,9.3,8.6,法律与秩序：犯...,1010537,法律与秩序：特...,8.6,史蒂芬·朗
9.1,辩护律师,actor,犯罪现场调查 第...,战地2,8.8,9.2,8.8,美国往事,1010538,法律与秩序：特...,8.6,布莱恩·布鲁姆
9.4,星际旅行：下一...,actor,地球,星际旅行：下一...,9.3,9.4,9.3,辛普森一家 第六季,1010540,星际旅行：下一...,9.3,帕特里克·斯图尔特
9.1,家有阿福 第一季,actor,周六夜现场 第一季,约会规则  第五季,8.4,9.2,8.6,燃情克利夫兰 第...,1010541,瘪四与大头蛋 第...,8.4,大卫·斯佩德
9.1,迷失解密视频 第...,actor,白宫风云  第五季,X档案 第一季,8.9,9.2,9.0,白宫风云  第六季,1010544,迷失 第六季,8.8,特瑞·欧奎恩
9.4,怪诞小镇 第一季,actor,怪诞小镇 第二季,怪胎与书呆,9.2,9.6,9.2,广告狂人 第七季,1010545,广告狂人 第六季,9.1,琳达·卡德里尼
8.8,黑衣警探,actor,法律与秩序：犯...,刺杀肯尼迪,8.8,8.9,8.8,法律与秩序：犯...,1010546,法律与秩序：犯...,8.7,文森特·多诺费奥
9.3,辛普森一家  第一季,actor,辛普森一家  第...,迷离时空 第一季,8.5,9.5,9.0,奥丽芙·基特里奇,1010548,远东之旅,8.3,弗兰西斯·麦克多蒙德
8.3,无姓之人,actor,海盗电台,人性,8.1,8.6,8.2,福尔摩斯：基本...,1010549,诺丁山,7.9,瑞斯·伊凡斯
8.8,Britney Spears:...,actor,明星伙伴 第八季,明星伙伴  第三季,8.7,9.0,8.8,明星伙伴  第七季,1010554,明星伙伴  第四季,8.7,艾德里安·格尼尔
9.1,歪星撞地球 第一季,actor,泰坦尼克号,乡巴佬希尔一家...,8.9,9.2,9.0,六尺之下  第三季,1010555,美国历史 第一季,8.9,凯西·贝茨
9.0,辛普森一家  第一季,actor,辛普森一家 第七季,侠探西蒙,8.9,9.5,9.0,神勇斗士,1010556,刺杀肯尼迪,8.8,唐纳德·萨瑟兰
8.7,战士公主西娜 第...,actor,老友记  第九季,两个故事一个启示,7.7,9.7,8.5,美国犯罪故事 第...,1010557,The Big Empty,7.6,塞尔玛·布莱尔
9.3,犯罪现场调查 第...,actor,法律与秩序 第一季,通往埃文利之路 ...,9.3,9.3,9.3,希区柯克悬念故事集,1010558,淘金岁月,9.2,尼德·巴蒂
9.2,捉鬼特工队,actor,巨蟒剧团：几乎...,事实真相 第一季,9.0,9.5,9.2,周六夜现场 第一季,1010562,彩虹,9.0,丹·艾克罗伊德
8.7,吸血鬼日记 第一季,actor,吸血鬼日记  第二季,芝加哥烈焰 第四季,8.3,8.7,8.4,雪山镇 第一季,1010563,吸血鬼日记 第三季,8.3,史蒂夫·R·麦奎因
9.1,实习医生格蕾 第...,actor,飞哥与小佛 第一季,实习医生格蕾  ...,9.0,9.4,9.1,实习医生格蕾 第...,1010565,实习医生格蕾  ...,9.0,吴珊卓
8.6,闪点行动 第一季,actor,法律与秩序：犯...,灵媒缉凶 第一季,7.9,8.8,8.0,风城大佬 第一季,1010567,控制,7.5,凯瑟琳·罗伯特森
9.2,犯罪心理 第四季,actor,奎斯特历险记 第...,达尔玛和格里格 ...,9.2,9.3,9.2,燃情克利夫兰 第...,1010568,犯罪心理 第七季,9.2,托马斯·吉布森
9.2,老爸老妈的浪漫...,actor,寂寞之鸽,华盛顿城堡的圣徒,8.8,9.5,9.0,周六夜现场 第一季,1010571,只是一个梦,8.8,丹尼·格洛弗
9.2,周六夜现场 第一季,actor,消消气 第二季,消消气 第八季,9.2,9.2,9.2,宋飞正传  第六季,1010575,Larry David: Cu...,9.0,拉里·戴维
9.3,越狱 第一季,actor,白宫风云  第二季,嘉年华 第二季,9.1,9.4,9.2,法律与秩序 第一季,1010576,犯罪心理 第六季,9.0,罗伯特·克耐普
9.3,猫鼠游戏,actor,白宫风云  第四季,神探阿蒙 第一季,8.6,9.3,8.7,白宫风云  第三季,1010577,法律与秩序：特...,8.6,詹姆斯·布洛林
9.3,傲骨贤妻 第五季,actor,法律与秩序 第一季,发展受阻 第三季,9.3,9.3,9.3,发展受阻 第二季,1010578,奎斯特历险记 第...,9.3,杰弗里·塔伯
8.4,勇者无惧,actor,真爱至上,对我说,7.9,8.5,8.2,火星救援,1010581,第86届奥斯卡颁...,7.9,切瓦特·埃加福特
9.2,教父2,actor,教父(电视剧重剪版),好汉两个半  第二季,8.8,9.5,9.1,神话剧场 第一季,1010582,绿里奇迹,8.7,哈利·戴恩·斯坦通
9.3,欢乐一家亲 第一季,actor,豪斯医生 第八季,豪斯医生 第一季,8.9,9.5,9.1,豪斯医生  第二季,1010583,再续前缘 第一季,8.8,雪拉·渥德
