rating2,ranking2,link,style,year,share3,actors4,actors2,thumbs_up,seasons,ranking3,name3,show_theatre,share2,name1,episodes,douban_score,share4,name2,length,rating4,show_date,play_count,show_time,actors1,ranking1,name4,location,aid1,rating1,ranking4,thumbs_down,title,production_company,aid4,share1,id,did,aid2,douban_num,score,show_platform,language,first_show,actors3,rating3,director,writer,aid3
,,https://movie.douban.com/subject/1786743/,喜剧/剧情/爱情,1998,,沈敏,苏有朋,,1,,,,,,25,7.1,,, 40分钟,,,,1999年7月21日,赵薇,,,中国大陆,,,,,老房有喜,上海东方电视台,,,1786743,,,33741,,,,1999-07-21(香港),邰智源,,赖建国,陈文贵,
,,https://movie.douban.com/subject/2154859/,剧情/爱情,2000,,赵文瑄,归亚蕾,,1,,,,,,40,8.9,,, 47分钟,,,,,陈红,,,中国大陆,,,,,大明宫词,中央电视台无锡太湖影视城,,,2154859,,,50023,,,,2000-03-30,周迅,,李少红,郑重,
,,https://movie.douban.com/subject/5377708/,剧情/爱情,2012,,杨幂,张译,,1,,,,,,39,7.6,,, 45分钟,,,,,陈思诚,,,中国大陆,,,,,北京爱情故事,万达 骋亚影视 蓝天下 北影制片厂 诺丁山,,,5377708,,,66301,,,,2012-01-07(中国大陆),李晨,,陈思诚,陈思诚,
,,https://movie.douban.com/subject/26761935/,剧情,2016,,刘仁娜,金高银,,1,,,,,,16,8.4,,, 70分钟,,,,,孔侑,,,韩国,,,,,孤单又灿烂的神：鬼怪,,,,26761935,,,94323,,,,2016-12-02(韩国),李栋旭,,李应福,金银淑,
,,https://movie.douban.com/subject/2085721/,儿童/奇幻,1992,,江以桢,陈晨,,1,,,,,,52,8.3,,, 28分钟,,,,,陈嘉男,,,中国大陆,,,,,小龙人,中央电视台影视部、北京儿童电视艺术中心,,,2085721,,,33600,,,,1992-06-01,柳田,,寒山,诸葛怡,
,,https://movie.douban.com/subject/4769314/,剧情,2010,,杰西卡·布朗·芬德利,米歇尔·道克瑞,,6,,,,,,7,9.2,,, 50分钟,,,,,休·博内威利,,,英国/美国,,,,,唐顿庄园  第一季,,,,4769314,,,90724,,,,2010-09-26,劳拉·卡尔迈克尔,,布莱恩·派西维尔,朱利安·费罗斯,
,,https://movie.douban.com/subject/3103678/,犯罪/剧情/悬疑,2009,,布伦丹·海因斯,凯利·威廉姆斯,,3,,,,,,13,8.7,,, 40分钟,,,,,蒂姆·罗斯,,,美国,,,,,千谎百计 第一季,,,,3103678,,,103234,,,,2009-01-21(美国),莫妮卡·雷蒙德,,罗伯特·斯文克 ,乔希·辛格,
,,https://movie.douban.com/subject/3901418/,武侠/古装,2003,,张国立,贾静雯,,1,,,,,,40,7.8,,, 48分钟,,,,,苏有朋,,,台湾/中国大陆/香港,,,,,倚天屠龙记,北京亚环影音制作有限公司,,,3901418,,,31244,,,,2003-03-12(中国大陆),高圆圆,,杨韬,陈兵,
,,https://movie.douban.com/subject/26363830/,剧情/犯罪/悬疑,2016,,张锦程,吴优,,1,,,,,,12,8.2,,, 45分钟,,2016年5月23日起,,每周一至周三晚上八点更新一集,张一山,,,中国大陆,,,,,余罪 第一季,爱奇艺、新丽传媒、天神娱乐,,,26363830,,,62917,,爱奇艺,,2016-05-23(中国大陆),常戎,,张睿,沈嵘,
,,https://movie.douban.com/subject/6037429/,剧情,2013,,迈克尔·凯利,罗宾·怀特,,5,,,,,,13,9.2,,, 58分钟,,,,,凯文·史派西,,,美国,,,,,纸牌屋 第一季,Netflix,,,6037429,,,109909,,,,2013-02-01(美国),凯特·玛拉,,大卫·芬奇,鲍尔·威利蒙,
,,https://movie.douban.com/subject/3926132/,喜剧/爱情,2009,,陈赫,金世佳,,1,,,,,,20,8.4,,, 45分钟,,,,2009年8月5日,赵霁,,,中国大陆,,,,,爱情公寓,上海电影集团公司,,,3926132,,,69958,,江西卫视,,2009-08-05(中国大陆),娄艺潇,,韦正,汪远,
,,https://movie.douban.com/subject/25975243/,剧情/爱情,2017,,迪丽热巴,赵又廷,,1,,,,,,58,6.2,,, 45分钟,,2017年1月30日,,,杨幂,,,中国大陆,,,,,三生三世十里桃花,华策剧酷传播、嘉行传媒、三味火,,,25975243,,,57539,,浙江卫视、东方卫视、优酷,,2017-01-30(中国大陆),张智尧,,林玉芬,弘伙,
,,https://movie.douban.com/subject/1931974/,爱情,2004,,傅彪,孙俪,,1,,,,,,32,8.7,,, 42分钟,,,,2004年11月30日,刘烨,,,中国大陆,,,,,血色浪漫,,,,1931974,,,33026,,江苏卫视,,2004-11-30(中国大陆),连奕名,,滕文骥,都梁,
,,https://movie.douban.com/subject/2239286/,喜剧/古装,1996,,邓婕,张国立,,1,,,,,,40,8,,, 46分钟,,,,,李保田,,,中国大陆,,,,,宰相刘罗锅,北京天寅影视艺术策划中心,,,2239286,,,29689,,,,,王刚,,张子恩,秦培春,
,,https://movie.douban.com/subject/2190914/,剧情/爱情/古装,2002,,寇世勋,归亚蕾,,1,,,,,,25,7.8,,, 45分钟,,,,,周迅,,,中国大陆,,,,,橘子红了,北京荣信达影视艺术有限公司,,,2190914,,,31447,,,,2002-02-12,黄磊,,李少红,夏美华,
,,https://movie.douban.com/subject/2248757/,剧情/喜剧/古装,2000,,袁立,王刚,,1,,,,,,40,7.8,,, 45分钟,,,,,张国立,,,中国大陆,,,,,铁齿铜牙纪晓岚,,,,2248757,,,31481,,,,2001-01-08(中国大陆),张铁林,,刘家成,陈文贵,
,,https://movie.douban.com/subject/25831874/,剧情/爱情,2016,,晋久,宋仲基,,1,,,,,,16,7.6,,, 60分钟,,2016-02-24,,,宋慧乔,,,韩国,,,,,太阳的后裔,NEW,,,25831874,,,78547,,KBS 2TV,,2016-02-24(韩国),金智媛,,李应福,金银淑,
,,https://movie.douban.com/subject/2279825/,武侠/古装,1999,,萧蔷,贾静雯,,1,,,,,,40,7.3,,, 45分钟,,,,,焦恩俊,,,中国大陆/台湾,,,,,小李飞刀,中华电视公司（中国台湾）,,,2279825,,,28900,,,,1999-08-03(台湾),俞飞鸿,,袁和平,陈文贵,
,,https://movie.douban.com/subject/1393859/,喜剧/爱情,1994,,马特·勒布朗,柯特妮·考克斯,,10,,,,,,24,9.6,,, 22分钟 / 30分钟(未删减版),,,,,詹妮弗·安妮斯顿,,,美国,,,,,老友记 第一季,华纳兄弟电影公司,,,1393859,,,116189,,,,1994-09-22(美国),丽莎·库卓,,大卫·克拉尼,大卫·克拉尼,
