ranking4,play_count,ranking2,actors3,name4,show_theatre,thumbs_down,actors4,location,name1,production_company,style,ranking3,length,director,seasons,show_platform,show_date,link,actors2,rating3,share4,actors1,writer,title,episodes,language,rating1,ranking1,rating2,thumbs_up,douban_score,share1,name3,name2,rating4,share3,show_time,first_show,douban_num,share2,year,score
,4.06亿,,,,,21896,,内地,,,言情剧/谍战剧/剧情,,,牟晓杰,,,,http://www.iqiyi.com/a_19rrh9oo4h.html,,,,,,双刺,,国语,,,,40258,5,,,,,,,,862,,,6.5
,77.85亿,,,,,1848104,,内地,,,言情剧/古装剧/偶像剧/剧情,,,高林豹/林玉芬/梁胜权,,,,http://www.iqiyi.com/a_19rrhc1zfx.html,,,,,,花千骨,,国语,,,,9648308,6.2,,,,,,,,28785,,,8.4
,37.58亿,,,,,181849,,内地,,,偶像剧/谍战剧/军旅剧,,,金琛/周远舟,,,,http://www.iqiyi.com/a_19rrhbapjx.html,,,,,,麻雀,,国语,,,,621196,6.3,,,,,,,,27197,,,7.7
,1.37亿,,,,,30476,,内地,,,言情剧/偶像剧/喜剧/青春剧,,,韦正,,,,http://www.iqiyi.com/a_19rrgjefid.html,,,,,,爱情公寓那些事儿,,国语,,,,221104,,,,,,,,,,,,8.8
,1.76亿,,,,,17830,,内地,,,言情剧/历史剧/武侠剧/古装剧,,,王响伟,,,,http://www.iqiyi.com/a_19rrgib2x1.html,,,,,,隋唐英雄4,,国语,1.1195862068965519,3.1724137931034484,,120355,3.3,3.0015724137931032,,,,,,,275,,,8.7
,2.96亿,,,,,17030,,内地,,,言情剧/农村剧/家庭剧,,,王振宏,,,,http://www.iqiyi.com/a_19rrh9y4t5.html,,,,,,木兰妈妈,,国语,,,,38057,2.6,,,,,,,,174,,,6.9
,4.27亿,,,,,27827,,内地,,,言情剧/剧情,,,黄建勋,,,,http://www.iqiyi.com/a_19rrhb5t19.html,,,,,,罗龙镇女人,,国语,,,,103636,5,,,,,,,,84,,,7.9
,1.99亿,,,,,217195,,内地,,,历史剧/年代剧/剧情,,,郭靖宇/刘礴/满意,,,,http://www.iqiyi.com/a_19rrifssgr.html,,,,,,打狗棍,,国语,,,,926422,6.4,,,,,,,,2041,,,8.1
,1.74亿,,,,,8525,,内地,,,言情剧/喜剧/都市,,,小岛,,,,http://www.iqiyi.com/a_19rrha4fm5.html,,,,,,别让爱你的人等太久,,国语,,,,18816,5.7,,,,,,,,47,,,6.9
,18.17亿,,,,,120215,,内地,浙江卫视CSM50城收视,,言情剧/年代剧/偶像剧/悬疑剧,,,吴锦源/冯柏源,,,,http://www.iqiyi.com/a_19rrhbc1fh.html,,,,,,煮妇神探,,国语,1.4105200000000002,2.5416666666666665,,1161227,,3.6174999999999997,,,,,,,,,,9.1
