play_count,score,link,domain,name
31940000,7.8,https://v.qq.com/x/cover/ves95sp3mu8dmzq.html,qq,黎明决战
48760000,8.2,https://v.qq.com/x/cover/f2tenn0sqzh7m7b.html,qq,因为遇见你
71770000,7.4,https://v.qq.com/x/cover/hf2sbyehx4n3had.html,qq,2017中国电视剧品质盛典
49630000,7.3,https://v.qq.com/x/cover/pv6b9v0r5hd921z.html,qq,大唐荣耀独家纪录片
85420000,8.4,https://v.qq.com/x/cover/doirtobwr5ss1mk.html,qq,火线出击（上）
12750000,6.8,https://v.qq.com/x/cover/nh6fqq0d6kifyd6.html,qq,老爸当家
21150000,7.3,https://v.qq.com/x/cover/zfyo7i3o0h6g79p.html,qq,3月新剧抢先看
1000000000,8.3,https://v.qq.com/x/cover/jwplwx9ootoigud.html,qq,大唐荣耀
11210000,7.7,https://v.qq.com/x/cover/9jdf19or1akujih.html,qq,新猛龙过江
35550000,8.2,https://v.qq.com/x/cover/fd7wc830c0q11qb.html,qq,乡村爱情9（下）
14180000,8.0,https://v.qq.com/x/cover/qsat63mztzs6kv3.html,qq,破晓
7200000000,6.4,https://v.qq.com/x/cover/8479ahinkqm7czh.html,qq,锦绣未央
1100000000,8.4,https://v.qq.com/x/cover/2bkdpz4uurqqp7m.html,qq,爱来的刚好
100000000,7.2,https://v.qq.com/x/cover/tb43ke05h7bys50.html,qq,青年霍元甲之冲出江湖
200000000,8.0,https://v.qq.com/x/cover/r57z3fzzgi0owl3.html,qq,周末父母
200000000,7.7,https://v.qq.com/x/cover/ehjvbzck9pcxhkp.html,qq,大秦帝国之崛起
300000000,7.2,https://v.qq.com/x/cover/42qe2gx9mzkxlq9.html,qq,战火中的兄弟
43870000,7.4,https://v.qq.com/x/cover/3vf9tz2p57cirg9.html,qq,大唐荣耀独家花絮
60770000,7.0,https://v.qq.com/x/cover/v0kjpif9ff6ow5w.html,qq,愉此一生
100000000,8.1,https://v.qq.com/x/cover/an1zw1d9vroboik.html,qq,双喜盈门
300000000,7.6,https://v.qq.com/x/cover/qk5uruhzvky4ubx.html,qq,《三生三世》幕后花絮
40830000,8.0,https://v.qq.com/x/cover/20kgktralinun9i.html,qq,青年霍元甲之冲出江湖[未删减版]
7700000000,8.4,https://v.qq.com/x/cover/j6cgzhtkuonf6te.html,qq,三生三世十里桃花
41240000,6.8,https://v.qq.com/x/cover/zqo9rb7d6gu0q8u.html,qq,我的室友是狐仙
100000000,6.8,https://v.qq.com/x/cover/xbyf45opmzdw7h6.html,qq,淘气爷孙
100000000,8.0,https://v.qq.com/x/cover/vo54z14cx79318s.html,qq,约会恋爱究竟是什么
3210000,7.6,https://v.qq.com/x/cover/6suz6th2bpnk798.html,qq,剧搞笑
400000000,7.8,https://v.qq.com/x/cover/3iy5ejklohe114s.html,qq,乡村爱情9欢乐周边
1200000000,8.2,https://v.qq.com/x/cover/jk97cgptoachp45.html,qq,乡村爱情9（上）
59340000,7.7,https://v.qq.com/x/cover/s0pngudu4h9lhsl.html,qq,《三生三世》 周周见
42520000,9.7,https://v.qq.com/x/cover/bg34mlgdcuoiubc.html,qq,外乡人
73310000,7.7,https://v.qq.com/x/cover/3tm4v94pbqa56nv.html,qq,活该你单身
72950000,7.7,https://v.qq.com/x/cover/3wnw07dp3uu4pyu.html,qq,剧搞笑
68660000,8.0,https://v.qq.com/x/cover/mvjfcdfi7o83fbj.html,qq,你好乔安
200000000,9.7,https://v.qq.com/x/cover/54ntb912jygjxd7.html,qq,权力的游戏第六季
100000000,8.2,https://v.qq.com/x/cover/3y9pypbagglecdk.html,qq,蜂鸟
100000000,8.9,https://v.qq.com/x/cover/eqrjlmqa0x66vr7.html,qq,美人计
7670000,6.8,https://v.qq.com/x/cover/bg8lt16giaj9vyu.html,qq,恶魔少爷别吻我第二季
7220000,7.0,https://v.qq.com/x/cover/b5zt0rolkc6g20w.html,qq,周末父母[未删减版]
34390000,8.4,https://v.qq.com/x/cover/9jjsuz5kxo8gm1m.html,qq,谜砂
35180000,8.1,https://v.qq.com/x/cover/ydlf9m01dny8hqj.html,qq,爱情万万岁
19960000,7.2,https://v.qq.com/x/cover/hxnwp8vrvdcbjb9.html,qq,聂小倩
41830000,8.7,https://v.qq.com/x/cover/buf2ekzzfbct0iv.html,qq,大祠堂
71440000,7.7,https://v.qq.com/x/cover/bf1ofovv6h2m2jg.html,qq,遇见王沥川
20420000,6.5,https://v.qq.com/x/cover/oiua4qpixxr5ktt.html,qq,锄奸
5480000,7.4,https://v.qq.com/x/cover/p4q7fchcazk5i7z.html,qq,《三生三世》 赵又廷CUT合集
800000000,7.4,https://v.qq.com/x/cover/qmqy5miir14k46a.html,qq,梦想三国
60940000,8.2,https://v.qq.com/x/cover/s2fo606divlys5k.html,qq,极品新娘
19360000,6.8,https://v.qq.com/x/cover/b7zi9cyqh1mjz7m.html,qq,虎胆雄心
44610000,7.0,https://v.qq.com/x/cover/q72idsxuuxdaxtw.html,qq,猎人
87570000,7.3,https://v.qq.com/x/cover/ob86l4ng6j9mu5t.html,qq,孤战
9920000,7.5,https://v.qq.com/x/cover/iqu86zbyq3nfuqy.html,qq,《三生三世》 杨幂CUT合集
35340000,7.8,https://v.qq.com/x/cover/3j5q8de4mtp6bw2.html,qq,战火连天
2630000,7.3,https://v.qq.com/x/cover/b4e8yjwgokhr0lj.html,qq,逆袭之星途璀璨
9200000,6.9,https://v.qq.com/x/cover/kcmndu2j1p0nplv.html,qq,家有大姐
12340000,6.9,https://v.qq.com/x/cover/fjryceivqvn95m7.html,qq,潜伏在黎明之前
800000000,7.1,https://v.qq.com/x/cover/1eyf4xyyez4p76n.html,qq,恶魔少爷别吻我
1300000000,9.0,https://v.qq.com/x/cover/g7jpq0qd0k8xdca.html,qq,青云志2
28210000,8.1,https://v.qq.com/x/cover/r328m6qsr5nl77b.html,qq,掩护
17460000,7.3,https://v.qq.com/x/cover/3tm608dsmr8wc6g.html,qq,皇城神鹰
11310000,6.7,https://v.qq.com/x/cover/y5th0giqmom0mv1.html,qq,女特警
14620000,8.7,https://v.qq.com/x/cover/c6s0vuioclig0kd.html,qq,你是我兄弟
