domain,link,play_count,name,score
sohu,http://tv.sohu.com/item/MTIwODI1Ng==.html,82392,特工皇妃楚乔传,
sohu,http://tv.sohu.com/item/MTIwODY3Nw==.html,26545,剃刀边缘,
sohu,http://tv.sohu.com/item/MTIwMjc5Nw==.html,86947165,卧底（卫视版）,7.0
sohu,http://tv.sohu.com/item/MTIwODE3Mg==.html,41512847,绝命后卫师,8.0
sohu,http://tv.sohu.com/item/MTE5MjcyMA==.html,100257011,泪洒女人花,7.0
sohu,http://tv.sohu.com/item/MTIwODU5MQ==.html,41729093,学渣少年,6.0
sohu,http://tv.sohu.com/item/MTE5OTA5Nw==.html,39907859,猜拳,9.0
sohu,http://tv.sohu.com/item/MTIwODE5Ng==.html,39957,凤凰无双,
sohu,http://tv.sohu.com/item/MTIwMzI3OQ==.html,168049,白鹿原,
sohu,http://tv.sohu.com/item/MTIwODE1MA==.html,13407,远大前程,
sohu,http://tv.sohu.com/item/MTIwNjYwNg==.html,26962,女管家,
sohu,http://tv.sohu.com/item/MTIwMDMyNw==.html,23521,转身遇到你,
sohu,http://tv.sohu.com/item/MTIwNTA2MQ==.html,103665,重返20岁,
sohu,http://tv.sohu.com/item/MTIwMzkwNA==.html,225039,新版飞刀又见飞刀,
sohu,http://tv.sohu.com/item/MTIwMzM1OQ==.html,273258,决战江桥,
sohu,http://tv.sohu.com/item/MTIwNTExNQ==.html,23940,领养,
sohu,http://tv.sohu.com/item/MTIwMjY5Mg==.html,29379,大话红娘,
sohu,http://tv.sohu.com/item/MTE5Njc5Mw==.html,186315,茧镇奇缘,
sohu,http://tv.sohu.com/item/MTE5Njc4Mw==.html,80105,大波,
sohu,http://tv.sohu.com/item/MTIwMjg1Mw==.html,23846,明星兄弟,
sohu,http://tv.sohu.com/item/MTE5NDkwNg==.html,73091,半为苍生半美人,
sohu,http://tv.sohu.com/item/MTE5OTczMA==.html,288293,奶爸当家,
sohu,http://tv.sohu.com/item/MTE5OTc0OQ==.html,31912,好想有个家,
sohu,http://tv.sohu.com/item/MTE5NzAxMg==.html,766127,实习生,
sohu,http://tv.sohu.com/item/MTE5OTczOQ==.html,71307,乌鸦嘴妙女郎,
sohu,http://tv.sohu.com/item/MTE5ODY2MA==.html,39570,战火红颜,
sohu,http://tv.sohu.com/item/MTIwMjcwOQ==.html,35778,恋恋阙歌,
sohu,http://tv.sohu.com/item/MTE5ODk4NQ==.html,50094,战鼓擂,
sohu,http://tv.sohu.com/item/MTE5OTA5OA==.html,63561,决胜,
sohu,http://tv.sohu.com/item/MTE5OTY4OQ==.html,61219,爱无痕,
sohu,http://tv.sohu.com/item/MTE5ODU5OQ==.html,303565,如果爱可以重来（卫视版）,
sohu,http://tv.sohu.com/item/MTIwMjk0Nw==.html,40274,怒海红尘,
sohu,http://tv.sohu.com/item/MTE5ODA3Mg==.html,287516,月供,
sohu,http://tv.sohu.com/item/MTIwMDA3OA==.html,244103,封神,
sohu,http://tv.sohu.com/item/MTE5NzQ2NQ==.html,133261,男人帮·朋友,
sohu,http://tv.sohu.com/item/MTE5ODc5MQ==.html,103683,大玉儿传奇,
sohu,http://tv.sohu.com/item/MTIwMDA1NA==.html,11392413,学堂故事,6.0
sohu,http://tv.sohu.com/item/MTE5Nzg2NQ==.html,107266,历史的使命,
sohu,http://tv.sohu.com/item/MTIwMjc4Mw==.html,73695,胜算,
sohu,http://tv.sohu.com/item/MTIwMjUyNg==.html,9056415,红色青橄榄（卫视版）,6.0
sohu,http://tv.sohu.com/item/MTIwNTU0Mg==.html,824639,青年旅社,9.0
sohu,http://tv.sohu.com/item/MTIwMzMwNQ==.html,151755,花开如梦,
sohu,http://tv.sohu.com/item/MTIwNjU5Ng==.html,8397,特勤精英,
sohu,http://tv.sohu.com/item/MTIwNTgwOQ==.html,12652,爱人同志,
sohu,http://tv.sohu.com/item/MTIwNDI3Mg==.html,95765,思美人,
sohu,http://tv.sohu.com/item/MTIwNjMxNQ==.html,20032,卧底归来,
sohu,http://tv.sohu.com/item/MTIwODUxMw==.html,21864,外科风云,
sohu,http://tv.sohu.com/item/MTIwNjk3Mw==.html,869554,美食奇缘,
sohu,http://tv.sohu.com/item/MTIwNjk3Mg==.html,20323,她很漂亮,
sohu,http://tv.sohu.com/item/MTIwNTk0OA==.html,4897,北京人在北京,
sohu,http://tv.sohu.com/item/MTIwNzIyMQ==.html,25734,龙珠传奇,
sohu,http://tv.sohu.com/item/MTIwNzUzOA==.html,19523,人民的名义,
sohu,http://tv.sohu.com/item/MTIwNDk3NA==.html,85312,九州·海上牧云记,
sohu,http://tv.sohu.com/item/MTIwNzI3Nw==.html,17436,你这么爱我，我可要当真了,
sohu,http://tv.sohu.com/item/MTIwOTExOA==.html,6431,合伙人,
sohu,http://tv.sohu.com/item/MTIwOTEwMw==.html,101906,非正常事件集,
sohu,http://tv.sohu.com/item/MTIwOTg3MA==.html,40965,朝歌,
sohu,http://tv.sohu.com/item/MTIwMzI2Ng==.html,44862,长梦留痕,
