play_count,name,score,domain,link
8058540,热血尖兵,7.9,youku,http://list.youku.com/show/id_z57efbfbdefbfbd7102ef.html
595801407,寂寞空庭春欲晚 TV版,9.6,youku,http://list.youku.com/show/id_zb054ff6025b311e3a705.html
343459038,寒山令,7.2,youku,http://list.youku.com/show/id_z82b319bebdca11e5b32f.html
119943221,暗战危城,7.1,youku,http://list.youku.com/show/id_z1fff6f3ed6ed11e59e2a.html
56552994,咱们相爱吧 未删减版,7.8,youku,http://list.youku.com/show/id_zd228d0b79f3b11e6b9bb.html
171067549,生死翻盘,8.1,youku,http://list.youku.com/show/id_za4670af44a4111e5b692.html
22470190,淬火成钢,6.4,youku,http://list.youku.com/show/id_zeea564e7c02011e68fae.html
13681041,我是你的百搭,8.2,youku,http://list.youku.com/show/id_z921d6212df9211e59e2a.html
5591622,马兰谣,7.9,youku,http://list.youku.com/show/id_z1ff05d3a589c11e69c81.html
3715458,深爱食堂 第二季,8.2,youku,http://list.youku.com/show/id_z50b80966a64e11e6bdbb.html
24034826,小镇大法官,8.3,youku,http://list.youku.com/show/id_z0a007a10e9c211e5b522.html
31294488,千里雷声万里闪,6.9,youku,http://list.youku.com/show/id_ze18ba947902911e69c81.html
56054783,天伦,8.3,youku,http://list.youku.com/show/id_zc1b6a368d62211e5a080.html
38195516,毛泽东三兄弟,8.2,youku,http://list.youku.com/show/id_zeb3ec30a36b211e6abda.html
30424061,一马换三羊,8.7,youku,http://list.youku.com/show/id_z90f1a21c060211e69c81.html
33275728,安居,8.1,youku,http://list.youku.com/show/id_zb4b2bf78799011e6b32f.html
61326958,港媳嫁到,9.3,youku,http://list.youku.com/show/id_z449b6d1eb59911e4b432.html
80907785,亲密的搭档,8.4,youku,http://list.youku.com/show/id_z607c3003852811e6b9bb.html
54740027,黄金血道,7.7,youku,http://list.youku.com/show/id_z00a0c71836ca11e6abda.html
103167310,女人不容易,8.7,youku,http://list.youku.com/show/id_z77ba795e9e5711e5b2ad.html
48016325,因为爱,9,youku,http://list.youku.com/show/id_z90269502bd5111e2b356.html
28143128,我是红军,6.9,youku,http://list.youku.com/show/id_zfa7c3b90941211e6b9bb.html
31721289,我们的纯真年代,8.3,youku,http://list.youku.com/show/id_z8b6fcefc060511e6b32f.html
41152165,幻城 未删减版,8.8,youku,http://list.youku.com/show/id_zab98772a378c11e6a080.html
48963788,生命中的好日子,8.3,youku,http://list.youku.com/show/id_za44490d8c95c11e59e2a.html
132578150,多少爱可以重来,9,youku,http://list.youku.com/show/id_z03becb40481111e6b522.html
58139927,麻辣芳邻,8.4,youku,http://list.youku.com/show/id_z0a04be8e814611e5b0dc.html
16043393,国家底线,8.1,youku,http://list.youku.com/show/id_z0f0a0cb69b3511e6b9bb.html
130715354,酸甜苦辣小夫妻,8.9,youku,http://list.youku.com/show/id_z40826b9a61d511e59e2a.html
26009906,长征大会师,3.7,youku,http://list.youku.com/show/id_z726bda6da63c11e6967c.html
28997908,岳父太囧,8.2,youku,http://list.youku.com/show/id_zc2578abc019911e4b2ad.html
69699957,女人的天空,8.7,youku,http://list.youku.com/show/id_z60d2ca34e74f11e5b432.html
35862643,爱的追踪,8.9,youku,http://list.youku.com/show/id_z4e702e92060611e6b32f.html
53157324,我是你的眼,8.5,youku,http://list.youku.com/show/id_z45a19215652511e6b9bb.html
30821052,麻辣变形计 未删减版,8.3,youku,http://list.youku.com/show/id_z525106635e0511e6b9bb.html
72603718,金水桥边,8.7,youku,http://list.youku.com/show/id_z6a42b228f48311e5b522.html
21561105,亲情暖我心,8.3,youku,http://list.youku.com/show/id_z48b44a3e564911e38b3f.html
110713766,我的爱情撞上了战争,7.8,youku,http://list.youku.com/show/id_z5c39d0ea36c711e6b32f.html
25886716,下辈子还做我老爸,8,youku,http://list.youku.com/show/id_zb4be8b3622f211e6a080.html
27897500,好运来临,9.1,youku,http://list.youku.com/show/id_zf4d6d506e5d611e5a2a2.html
122290479,踏破硝烟,7.8,youku,http://list.youku.com/show/id_zb36256924c9b11e59e2a.html
65343733,你是我的眼,9.3,youku,http://list.youku.com/show/id_za2af2b047ee611e5b692.html
116294805,彭德怀元帅,5.5,youku,http://list.youku.com/show/id_za6342a3a1d6611e6b32f.html
92637049,姐妹兄弟,8.7,youku,http://list.youku.com/show/id_zeaa48346b9d811e589e3.html
154440944,殊死七日,8.4,youku,http://list.youku.com/show/id_z40b2ecda23bd11e5b2ad.html
56147950,绝命后卫师,7.6,youku,http://list.youku.com/show/id_z20752118902111e69e06.html
24662347,最美是你 未删减版,7.6,youku,http://list.youku.com/show/id_ze99d1ec8e5d811e5b522.html
83232422,红色通道,7.1,youku,http://list.youku.com/show/id_z51f6f444aedc11e2b2ac.html
74032291,且行且珍惜,8.9,youku,http://list.youku.com/show/id_z2c1ebb2682c911e5a080.html
206073332,两个女人的战争,9.6,youku,http://list.youku.com/show/id_z37cfa1424c9b11e5b522.html
49297506,终极使命,7.7,youku,http://list.youku.com/show/id_zb32f654774c311e6b9bb.html
120052340,傻儿传奇之抗战到底,7.5,youku,http://list.youku.com/show/id_z4f1ee17ed9d011e5b2ad.html
190488566,三八线,7.3,youku,http://list.youku.com/show/id_z72a260840ab411e6a080.html
157340776,乡村情感之女怕嫁错郎,8.2,youku,http://list.youku.com/show/id_z8ebe8eaaf48411e5b522.html
37251564,新萧十一郎,8.8,youku,http://list.youku.com/show/id_ze387b2105e5111e4abda.html
7523843,柠檬初上 未删减版,8.4,youku,http://list.youku.com/show/id_z6c52e85b13e511e69c81.html
293012291,铁血战狼,8.2,youku,http://list.youku.com/show/id_zc31d55bc6f3411e5b692.html
292249770,结婚为什么,9.3,youku,http://list.youku.com/show/id_z1afa0d3e378f11e6a080.html
43319526,活法,8.7,youku,http://list.youku.com/show/id_z50310deed13e11e4abda.html
30100029,寂寞空庭春欲晚 未删减版,8.9,youku,http://list.youku.com/show/id_zddc695e4dc5911e5b2ad.html
174632233,养个孩子不容易,8.6,youku,http://list.youku.com/show/id_z49f45616702211e6bdbb.html
72680205,我的岳父会武术,8.7,youku,http://list.youku.com/show/id_zb237d57bba8c11e69e06.html
284666396,我和她的传奇情仇,9.3,youku,http://list.youku.com/show/id_z8202b2a2c0a611e5b2ad.html
228170743,神犬小七 第二季,9.4,youku,http://list.youku.com/show/id_z3e4adca4432511e6b32f.html
12743547,山海经之赤影传说 未删减版,8.6,youku,http://list.youku.com/show/id_z6c0c9f4aed0511e59e2a.html
79170437,麻雀 未删减版,8.7,youku,http://list.youku.com/show/id_zca2bd56e6f4111e69c81.html
181877230,玉海棠,8.7,youku,http://list.youku.com/show/id_z4a440b4098d811e5b432.html
138263901,追击者,8.9,youku,http://list.youku.com/show/id_z23f6eedc232811e6b522.html
82095846,对与决,6.8,youku,http://list.youku.com/show/id_zd922e8b6d56a11e1b2ac.html
100570257,蚂蚱,8.3,youku,http://list.youku.com/show/id_zbbf7fbb06e2c11e5b2ad.html
79265147,闺蜜嫁到,7.3,youku,http://list.youku.com/show/id_z8d067533ad3011e6b16e.html
108188047,豆娘,7.9,youku,http://list.youku.com/show/id_z8ccd089b435e11e6bdbb.html
183413732,硬骨头,8.4,youku,http://list.youku.com/show/id_zb01453d6f58911e5a080.html
509809224,情谜睡美人,9.3,youku,http://list.youku.com/show/id_z25a26ab2da9a11e5b2ad.html
89141710,木兰妈妈,6.9,youku,http://list.youku.com/show/id_z1e0d57488ea711e6bdbb.html
671801895,柠檬初上 TV版,9.5,youku,http://list.youku.com/show/id_z77af4234015b11e69e2a.html
8992272,欢天喜地对亲家,7.6,youku,http://list.youku.com/show/id_z0115db92c95311e4abda.html
49683456,无名者,7.3,youku,http://list.youku.com/show/id_z7f9611a1950011e6bdbb.html
88665699,刺青,8.8,youku,http://list.youku.com/show/id_zeee1459ccf0e11e1b356.html
125418608,宜昌保卫战,8.2,youku,http://list.youku.com/show/id_z6429449e587911e6b16e.html
487931808,最美是你 TV版,8.7,youku,http://list.youku.com/show/id_zad054ed6d9e911e0a046.html
2206060838,幻城 TV版,8.3,youku,http://list.youku.com/show/id_zc8193f92458e11e5b5ce.html
36728290,海棠依旧,8.9,youku,http://list.youku.com/show/id_zed6f5e34379111e6b432.html
44376466,解密 未删减版,9.1,youku,http://list.youku.com/show/id_z7d94f3fc36b611e6abda.html
168677975,热血,8.2,youku,http://list.youku.com/show/id_ze6d7bc3cc24511e4b522.html
365882645,锻刀,7.9,youku,http://list.youku.com/show/id_z650fb418342a11e69b6d.html
543603279,青丘狐传说 TV版,9.4,youku,http://list.youku.com/show/id_z7debaa4c4a4111e5a080.html
27682128,青丘狐传说 未删减版,8.8,youku,http://list.youku.com/show/id_zd9a1cffcca3311e5b432.html
284694559,远得要命的爱情,9.5,youku,http://list.youku.com/show/id_z538d2808c83811e299f6.html
43137954,红色护卫,6.9,youku,http://list.youku.com/show/id_z3bd1b5c5902511e6bdbb.html
114916258,政委,4.6,youku,http://list.youku.com/show/id_z70cfeb2d905111e6bdbb.html
369788439,新婚公寓,9.3,youku,http://list.youku.com/show/id_zc2ed8196a24911e5b522.html
223045072,功夫婆媳,9.1,youku,http://list.youku.com/show/id_z4fad4e1c64c111e4a080.html
287277179,守婚如玉,9.1,youku,http://list.youku.com/show/id_zd0065910b8d411e5b432.html
89350322,遥远的距离,7.7,youku,http://list.youku.com/show/id_z12097baa851a11e6bdbb.html
1346845067,山海经之赤影传说 TV版,9.2,youku,http://list.youku.com/show/id_z6c510e5485c411e4b432.html
51239131,别让爱你的人等太久,8.6,youku,http://list.youku.com/show/id_z1e5fba18eb5511e5b432.html
39775001,深宅1927,8.1,youku,http://list.youku.com/show/id_z3e64914e1c4911e48b3f.html
237539353,青云志 未删减版,8,youku,http://list.youku.com/show/id_z097c0660555811e6bdbb.html
30244346,因为爱情有幸福 未删减版,8.3,youku,http://list.youku.com/show/id_zb54cb26cdac711e5b432.html
301166257,嫁个老公过日子,9.1,youku,http://list.youku.com/show/id_zff146da6c08611e4b2ad.html
368581840,我爱男保姆,9.4,youku,http://list.youku.com/show/id_zd48990e24a0211e5b432.html
34990692,放弃我，抓紧我 未删减版,7.6,youku,http://list.youku.com/show/id_z71df338fbdf011e6acec.html
736844934,特种兵之霹雳火,9.4,youku,http://list.youku.com/show/id_z24d56510933411e5b432.html
638774881,医馆笑传2,8.7,youku,http://list.youku.com/show/id_z2d69eb28441011e69b6d.html
75203835,真心想让你幸福,7.6,youku,http://list.youku.com/show/id_z56379aae799111e69e06.html
900530078,少帅,9,youku,http://list.youku.com/show/id_z2a6634cea23d11e5b692.html
111941282,九九,7.9,youku,http://list.youku.com/show/id_z020a63a06f1b11e6b16e.html
289483956,搭错车,9.5,youku,http://list.youku.com/show/id_zd890bd96af7e11e5a080.html
36099788,遥远的婚约,7.7,youku,http://list.youku.com/show/id_z74f9d1c22fca11e3b8b7.html
1168606,梦想大道东 第一季,5.9,youku,http://list.youku.com/show/id_z399f7574c59211e6b16e.html
142212790,游击英雄,7.8,youku,http://list.youku.com/show/id_zd0fa77ee003211e5b692.html
1225103914,因为爱情有幸福 TV版,9.3,youku,http://list.youku.com/show/id_z1f881f242b6711e5b5ce.html
555262977,炮神,8.4,youku,http://list.youku.com/show/id_z9c4eb7da931211e5be16.html
220971379,三妹,8.6,youku,http://list.youku.com/show/id_z1a6229300de911e6b522.html
329176314,猎刃,7.2,youku,http://list.youku.com/show/id_zfdf18d8e037d11e5abda.html
444998792,麻辣变形计 TV版,9.3,youku,http://list.youku.com/show/id_zff1ec8bc835b11e5b2ad.html
3147870627,仙剑云之凡,9.1,youku,http://list.youku.com/show/id_z21073c9078a111e5b692.html
647227722,解密 TV版,9,youku,http://list.youku.com/show/id_z3e14b3da159311e69c81.html
4092079468,咱们相爱吧 TV版,5.6,youku,http://list.youku.com/show/id_z69cc4c7647d811e5a080.html
1386892707,女医明妃传,9.5,youku,http://list.youku.com/show/id_z7e51f7b0864e11e38b3f.html
4175177488,小丈夫,8.8,youku,http://list.youku.com/show/id_zc99085240dca11e683e8.html
168010225,老公们的私房钱,7.1,youku,http://list.youku.com/show/id_zdfd77502ad3611e68ce4.html
149828811,小草青青,8.1,youku,http://list.youku.com/show/id_za77357b5b53f11e69e06.html
2245824526,放弃我，抓紧我 TV版,7.9,youku,http://list.youku.com/show/id_z23b897b8296d11e6b522.html
209632800,黑狐之风影,8,youku,http://list.youku.com/show/id_z2a4578e283a211e5b2ad.html
295376730,不可能完成的任务,7.8,youku,http://list.youku.com/show/id_z5a805a82e5cb11e59e2a.html
2954058502,麻雀 TV版,9.1,youku,http://list.youku.com/show/id_zc553cf20aad811e59e2a.html
2158403148,致青春,9.6,youku,http://list.youku.com/show/id_zee1e0fe402e211e6a080.html
4669599277,好先生,9.6,youku,http://list.youku.com/show/id_z30dd4bfa060411e6a080.html
3248158868,青云志 TV版,8.6,youku,http://list.youku.com/show/id_ze46186b0f71711e5a080.html
5132842424,欢乐颂,9.8,youku,http://list.youku.com/show/id_z6b2fc09c55d011e59e2a.html
8919014616,锦绣未央,8.5,youku,http://list.youku.com/show/id_z7bd563d8a56811e5be16.html
19077433537,微微一笑很倾城,9.5,youku,http://list.youku.com/show/id_z9cd2277647d311e5b692.html
15042888,守护丽人 未删减版,8,youku,http://list.youku.com/show/id_z39befb1edbc311e68ce4.html
3817760,知青家庭,7.2,youku,http://list.youku.com/show/id_z8121b778e99911e4b432.html
112916849,于成龙,8.5,youku,http://list.youku.com/show/id_zdc3eb942cd9511e69c81.html
10085794,周末父母 未删减版,8.2,youku,http://list.youku.com/show/id_zefbfbdefbfbd59efbfbd.html
196828243,乱世丽人行,9,youku,http://list.youku.com/show/id_zc6235132314c11e6abda.html
5079617,咱家,8.1,youku,http://list.youku.com/show/id_z3e375defbfbdefbfbd11.html
32776561,妈妈向前冲冲冲,7.2,youku,http://list.youku.com/show/id_z16e7add459f411e6b9bb.html
87923526,淘气爷孙,8,youku,http://list.youku.com/show/id_za805e1c1595311e6b9bb.html
218718693,双喜盈门,8,youku,http://list.youku.com/show/id_z70e6896ed7e511e6b16e.html
22103684,新猛龙过江,8.1,youku,http://list.youku.com/show/id_z332a7c60a89011e59e2a.html
85112207,周末父母 TV版,8.7,youku,http://list.youku.com/show/id_z8d92e544a7b911e68fae.html
240965418,战火中的兄弟,6,youku,http://list.youku.com/show/id_z53e2b0546e8611e69c81.html
42133344,破晓,8.5,youku,http://list.youku.com/show/id_z1033be1a8c4811e5be16.html
51577441,老爸当家,8,youku,http://list.youku.com/show/id_z74e8c301cc0811e6b16e.html
471753894,爱，来的刚好,8.6,youku,http://list.youku.com/show/id_z05fdadafc8b811e6b16e.html
1840219582,守护丽人 TV版,9.4,youku,http://list.youku.com/show/id_z3a85e68cbc1f11e6bdbb.html
192680353,星光灿烂,8.8,youku,http://list.youku.com/show/id_z6b1814f7ecdd11e6b16e.html
123190155,大秦帝国之崛起,8.9,youku,http://list.youku.com/show/id_z6b5d941629a011e4b8b7.html
11215991168,三生三世十里桃花,9.9,youku,http://list.youku.com/show/id_z387477fb41a011e69c81.html
812606,282 第一季,6.8,youku,http://list.youku.com/show/id_zb96aed3461d511e5b432.html
9095392,瓦斯大爆报,7.8,youku,http://list.youku.com/show/id_z2b8cdb5061ab11e59e2a.html
185210,笑里藏道 第二季,5.1,youku,http://list.youku.com/show/id_z6a34383a1fca11e5b2ad.html
2388489,脑洞联萌 第一季,7.4,youku,http://list.youku.com/show/id_z4bcd09de2c2d11e5b522.html
1990727,我为什么没有男女朋友,7,youku,http://list.youku.com/show/id_zcd33a782456711e5b432.html
30598927,大面曹天,8.8,youku,http://list.youku.com/show/id_z7d8813688c4211e5b522.html
719299,我家厨房,5.8,youku,http://list.youku.com/show/id_z0f3b2f86f10b11e3a705.html
7269387,阳光派,4.3,youku,http://list.youku.com/show/id_z774650028fe311e4abda.html
827045,LOVE双重奏,6.9,youku,http://list.youku.com/show/id_z907e23828ff811e4b2ad.html
30237246,我们办人事,9.4,youku,http://list.youku.com/show/id_zcb0c70f2846811e5b2ad.html
2640519,学堂故事,8.8,youku,http://list.youku.com/show/id_z850d7ab426ef11e5b2ad.html
67272099,喵星人抢不到 第二季,8.8,youku,http://list.youku.com/show/id_z1ca33834507e11e5b522.html
497007,丝绸之路传奇,8.2,youku,http://list.youku.com/show/id_z1f7538da73a311e5b522.html
3525261,信访局长,6.7,youku,http://list.youku.com/show/id_zd8bdc7a8c3ae11e4b2ad.html
7290636,烧脑,8.7,youku,http://list.youku.com/show/id_z4614e0eafd0f11e4b432.html
594332,家国纪事,8.4,youku,http://list.youku.com/show/id_z3ce0b670a3db11e5b522.html
11050099,历史永远铭记,8.3,youku,http://list.youku.com/show/id_zb05e094c4d6211e5b5ce.html
12621275,鄂尔多斯风暴,7.8,youku,http://list.youku.com/show/id_zc7dce83097c811e5a080.html
7552630,侯天明的梦,8.5,youku,http://list.youku.com/show/id_z5d8ea676ef1211e4abda.html
9055691,剧场,8.8,youku,http://list.youku.com/show/id_ze4e35f24aedf11e2be40.html
20544053,空巢姥爷,8.2,youku,http://list.youku.com/show/id_z75421162ed8311e49e2a.html
21082150,我们家的微幸福生活,8,youku,http://list.youku.com/show/id_z82b12fdea85211e4b2ad.html
90588002,转身说爱你,8.8,youku,http://list.youku.com/show/id_za82eea209e9511e3a705.html
104984057,爱情碟中谍 TV版,9.1,youku,http://list.youku.com/show/id_zf3a6dd728c4711e59e2a.html
8670465,冤家亲家,7.1,youku,http://list.youku.com/show/id_z67c81cc81bad11e4b2ad.html
1450606,战争和人,7.2,youku,http://list.youku.com/show/id_zeaffe7f2f48711df97c0.html
137653930,猎人公会之非你莫属,6,youku,http://list.youku.com/show/id_z95f448fe8a4011e4b432.html
831610,谁欠谁的幸福,4.2,youku,http://list.youku.com/show/id_z5b23fe4c3d8111e4abda.html
13698464,大河儿女 TV版,4.5,youku,http://list.youku.com/show/id_z85711e60b48711e3a705.html
9579826,宝贝儿回家,6.2,youku,http://list.youku.com/show/id_zde9f09ac525911e2a19e.html
88945022,男人不醉,8.9,youku,http://list.youku.com/show/id_zbb0fc2de810e11e4abda.html
